journal_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
276,0.017636,0.0097,0.007975,0.013276,0.015438,0.00581,0
277,0.011887,0,0.010138,0.004719,0.003615,0.004239,0.00544
278,0.014811,0.009584,0.005917,0.009596,0.007182,0.016406,0.005503
279,0.018806,0.008691,0.022001,0.009602,0.009408,0,0.004004
280,0.019858,0.020165,0.01388,0.01656,0.008288,0.00493,0.003751
281,0.019911,0,0.016214,0.008019,0.011868,0.02005,0.007458
282,0.007229,0,0.010874,0.006547,0.009299,0.011611,0.010837
283,0.014945,0,0.004121,0.011084,0.012277,0.013516,0.014218
284,0.012127,0.012068,0.017664,0.004949,0.003069,0.012603,0.00377
285,0.007472,0.009888,0.02088,0.010571,0.015092,0.004304,0.006927
286,0.00349,0.024507,0.024576,0.013626,0.013143,0.005491,0.003675
287,0.006798,0.017149,0.013161,0.006279,0.008182,0.01974,0.00732
288,0.011575,0.011813,0.010809,0.003229,0,0.014298,0.009841
289,0.00288,0,0.004015,0.005725,0.005008,0.004087,0.00341
290,0.01902,0.020058,0.009916,0.011246,0.006189,0.013401,0.012097
291,0.020984,0.008855,0.021581,0.007407,0.005306,0.003459,0.003277
292,0.015915,0.016402,0.005799,0.010118,0.008908,0.013775,0.009843
293,0.015765,0.013621,0.013353,0.003625,0,0.006915,0.011198
294,0.013244,0.020371,0.01181,0.003551,0.004672,0.014536,0.007849
295,0.01422,0.007183,0.015259,0.005761,0.006664,0.00498,0.005687
296,0.007671,0.003766,0.014846,0.005647,0.019837,0.003163,0.003204
297,0.003368,0.003685,0.003865,0.010966,0.011899,0.01588,0.004517
298,0,0.003507,0.004695,0.003057,0.013238,0.012082,0.010143
299,0.016726,0.004222,0.023458,0.003562,0.009078,0.013117,0.011008
300,0.01186,0.005619,0.012974,0.021513,0.010207,0.008931,0.008983
301,0.007553,0.00864,0.012502,0.006276,0.008394,0.014803,0.012899
302,0.018213,0.018077,0.009099,0.00804,0.015744,0.014177,0.006253
303,0.022627,0.012074,0.006639,0.016016,0.00889,0.013509,0.011921
304,0.004913,0.021288,0.005329,0.008422,0.003742,0.003321,0.003683
305,0.004099,0.010429,0.011959,0.006199,0.006301,0.009309,0.012833
306,0.012984,0.01864,0.008199,0.008872,0.007126,0.003013,0
307,0.014684,0.009541,0.007106,0.003523,0.003418,0.003038,0.00319
308,0.012625,0.012284,0.025364,0.01153,0.00388,0.006203,0.014796
309,0.011407,0.010324,0.016594,0.011404,0.006688,0.012884,0.007316
310,0.009227,0.003653,0.010272,0.003637,0.003481,0.003737,0.005649
311,0.009909,0.007248,0.009449,0.012159,0.011925,0.003671,0.003823
312,0,0.020768,0.005117,0.015354,0.019552,0.017023,0.007978
313,0.015216,0.021675,0.020282,0.010098,0.006363,0.003762,0.005923
314,0.010133,0.012882,0.016368,0.006613,0.007414,0.016355,0.015712
315,0.012729,0.019278,0.021767,0.009833,0.008546,0.014938,0.018395
316,0.010487,0.020432,0,0.005333,0.006479,0.014538,0.011915
317,0.02138,0.0192,0.016522,0.011074,0.020407,0.015021,0.010562
318,0.017441,0.020651,0.013562,0.014767,0.019598,0.004689,0.004427
319,0.008099,0.017628,0.019159,0.003029,0.003509,0.00907,0.008966
320,0.020671,0.011446,0.005765,0.011637,0.00582,0.011156,0.012931
321,0.021765,0.018528,0.015452,0.003324,0.003242,0.011759,0.009217
322,0.020034,0.005766,0.016381,0.017376,0.009698,0.014732,0.018247
323,0.007759,0.019258,0.011282,0.0025,0.003644,0.009712,0.013463
324,0.014191,0.015701,0.021338,0.002911,0.003067,0.01517,0.008619
325,0.021475,0.019722,0.024519,0.003357,0,0.012494,0.011869
326,0.018022,0.017473,0.008985,0.00307,0.00597,0.021656,0.014468
327,0.018795,0.019635,0.007674,0.016609,0.005861,0.012844,0.016684
328,0.008412,0.019359,0.015242,0.004228,0.016969,0.013368,0.009192
329,0.008137,0.011548,0.019757,0.003003,0.004412,0.008022,0.006242
330,0.01855,0.045772,0.024994,0.003333,0,0.005992,0.004374
331,0.01596,0.018663,0.00902,0.003394,0,0.012462,0.019105
332,0.018153,0.007759,0.015766,0.011476,0.006318,0.003799,0.004232
