journal_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
253,2211306588,1537184928,2254367057,2430335489,2177743636,2450396626,2886313666
254,2215790660,1546168567,2268880160,2435390153,2182122601,2459057519,2900887676
255,2220281783,1549294085,2294099662,2436761732,2182227832,2468297309,2912782580
256,2237401202,1551191858,2299819873,2444371357,2188256639,2483132087,2929723137
257,2257053530,1555998650,2304314572,2444371357,2196678837,2494592213,2943499733
258,2265162427,1569927002,2311328084,2460708928,2204682503,2500202449,2956768525
259,2274118232,1577609090,2317782658,2475805300,2204682503,2511926714,2965649242
260,2278597810,1585506258,2331226010,2480296423,2213657822,2514240754,2974633797
261,2293101792,1586591336,2340216450,2488313118,2213657822,2531783497,2986736854
262,2314467111,1600235697,2342599377,2498223971,2213868284,2539460967,2995844630
263,2327933677,1604553744,2353693522,2504220221,2228099493,2551702023,3001701447
264,2336808260,1606059746,2371637585,2515972592,2236091614,2557416223,3022575146
265,2341402302,1626951762,2379519857,2530841438,2245071678,2570895603,3025139343
266,2341402302,1639086419,2395715855,2547595100,2248828493,2575384417,3041975711
267,2354857424,1640419345,2407009832,2554291681,2263016773,2588855857,3052804451
268,2364227226,1640524579,2410170338,2569742399,2272004904,2593350556,3081535725
269,2375786698,1653425295,2416522979,2570058092,2285760282,2611433529,3082372955
270,2386227160,1657479426,2429989421,2577941310,2303433880,2625687929,3094154560
271,2394926923,1666875694,2434480544,2583590070,2303433880,2637853283,3095839523
272,2406530775,1671828703,2443460481,2588070915,2314987692,2658936698,3095839523
273,2422100038,1676319826,2443460481,2605926000,2323912966,2675839835,3098082142
274,2424064406,1680809907,2456917814,2612857617,2325842146,2678642644,3109293378
275,2435577109,1684333170,2471982779,2628325157,2330322991,2685271088,3126126170
276,2444668843,1689764445,2479876596,2639616952,2342498511,2709964395,3131729479
277,2453516794,1707705972,2484711562,2650741989,2351897190,2727992238,3131764556
278,2462500435,1707705972,2498318061,2659726672,2352775382,2736951512,3140073412
279,2464219208,1714474728,2510762652,2670599852,2371809013,2741426472,3162688565
280,2471487427,1725783069,2515253902,2682171094,2384186898,2741426472,3177412344
281,2480464136,1734628705,2530154228,2687997490,2402237549,2749631258,3190020775
282,2492057889,1734628705,2546661049,2700128913,2411074869,2756112737,3209125603
283,2506781346,1734628705,2560129925,2704615418,2420050188,2761219083,3216944550
284,2511865427,1734628705,2564894737,2713597664,2429009340,2768329436,3221438110
285,2523815589,1743602982,2573591749,2724360868,2434020958,2771588246,3243447168
286,2532274472,1757066073,2578085309,2740523973,2442477049,2799725735,3245446545
287,2538725811,1762817659,2585205123,2751499948,2460437148,2809754631,3259010249
288,2547710238,1769311747,2592462711,2767697880,2469411302,2813193444,3280371902
289,2551883359,1784013036,2605023161,2784262043,2469411302,2821464898,3293249187
290,2556685557,1784013036,2617050404,2802391642,2478368268,2824934189,3302236276
291,2567593741,1796123462,2622979684,2808144495,2496318781,2835631857,3312461900
292,2579107127,1800567963,2631965632,2821300116,2498251592,2852401512,3320176881
293,2583880259,1805830891,2655018050,2834768867,2514270561,2862575372,3327823815
294,2593137461,1806430793,2669814176,2860134567,2514270561,2882267273,3338136755
295,2601559742,1810917423,2682523131,2861677999,2525610466,2888602581,3349471596
296,2619214993,1819876579,2692699262,2883145219,2532231008,2896744246,3360584648
297,2620751454,1828330361,2703805167,2898027995,2534230454,2898463019,3365070111
298,2623979805,1842325492,2705032862,2914085654,2549881202,2902213011,3387471135
299,2624120113,1845935072,2721725788,2924456167,2550196895,2907439730,3400969303
300,2641676935,1846815573,2729648797,2937924004,2556403566,2916066462,3412203629
301,2648868072,1851312581,2739586316,2942401394,2568120176,2929860930,3426405772
302,2655393789,1864781457,2744184979,2957228789,2574261185,2936261774,3434994202
303,2659358757,1869836137,2761924113,2978313175,2581586843,2940362388,3453273217
304,2664623883,1882105452,2766625698,2987285143,2602664177,2946938538,3459346381
305,2677835550,1882732220,2768558454,2990153488,2617632003,2956769784,3473868709
306,2682322055,1891707666,2776269661,2996241067,2626632246,2972487039,3481789409
307,2691292756,1900682067,2789052435,3009691346,2644792436,2980474542,3481789409
308,2699595952,1905179203,2808279924,3014188482,2652255032,2992676029,3489251799
309,2713666897,1914161449,2811507008,3023167377,2657861724,3009626202,3495253542
310,2728564569,1918652572,2820978149,3036636353,2668151474,3015132249,3513794954
311,2736169701,1923124181,2827776385,3041120549,2680309750,3028598916,3522174089
312,2749629441,1926970064,2842893031,3051973980,2689495973,3044829866,3526651358
313,2749629441,1933445680,2860356417,3068043272,2701975641,3051036411,3544181639
314,2759486303,1945547470,2869551434,3078533831,2707191836,3065638129,3558008646
315,2772082747,1956118084,2869835626,3091720924,2721032805,3075943939,3568620044
316,2791606540,1963479861,2878766032,3099462663,2731666262,3077981981,3571461362
317,2803479621,1967969942,2878766032,3123152425,2741521013,3085163831,3580443833
318,2812464176,1973045829,2889583002,3135363022,2747581365,3091446369,3593384120
319,2817588994,1976931407,2904662169,3139854145,2752067870,3100096759,3602859153
320,2847580385,1981424967,2906800824,3144341917,2774229240,3109033650,3616325720
321,2852490027,1985913907,2924328229,3148833167,2791134720,3124598010,3629063739
322,2857339062,1990402721,2941126070,3157799599,2792465337,3136386641,3651726337
323,2861818640,1994870871,2955059016,3162286104,2801439614,3145284879,3656741306
324,2880064100,1996698451,2959543336,3164318261,2805930737,3160349967,3661894293
325,2892698040,2003893953,2964034459,3171266041,2810419551,3164899699,3681265550
326,2901813683,2012841247,2971407991,3178377661,2810419551,3176690639,3695511880
327,2911216853,2021821184,2978533624,3180222888,2820895088,3185666084,3709855247
328,2915703358,2029760798,2989181108,3184501360,2831721519,3203578736,3723358600
329,2937650816,2030778031,2999951239,3209717909,2832843983,3214787726,3740568228
330,2951602676,2048054237,3004683283,3213120378,2841783625,3221529726,3750986448
331,2963584458,2048720700,3013415498,3220628348,2841783625,3229705201,3759974579
332,2971093426,2050541353,3031361644,3234086821,2841783625,3245141015,3768949898
333,2978530933,2072946285,3037611460,3238583957,2853496217,3255261288,3777907095
334,2978530933,2082333456,3053804923,3246986624,2863036119,3266345245,3791595820
335,2991987097,2084573704,3063178076,3256532538,2868722394,3275483262,3804860071
336,3001283994,2084573704,3070509394,3279891548,2873213644,3283192458,3811696960
337,3012998895,2098039229,3076227295,3283473080,2877701416,3289829543,3822793504
338,3023404274,2102531745,3089703198,3290102858,2892126833,3297753817,3845895091
339,3029886817,2111050021,3094189703,3304781304,2901137229,3308100715,3863198939
340,3036873250,2115985600,3098680826,3306666199,2917862833,3317246801,3863198939
341,3058682705,2120476723,3103313528,3314878934,2931586359,3333449802,3869019761
342,3063162283,2124970155,3116646935,3319332796,2931586359,3342615627,3876664463
343,3070627109,2132582089,3130114517,3326210422,2940570914,3358791424,3876664463
344,3086165477,2133950092,3143576566,3339115632,2949541615,3377452988,3876664463
345,3090960870,2144825580,3146167574,3346467131,2954034919,3387513512,3886313172
346,3099633435,2151913668,3152559953,3364207307,2958526042,3392006816,3900525909
347,3100821435,2156397864,3165933249,3371110900,2967505979,3408965146,3912561121
348,3108610147,2168290540,3174982424,3386394767,2976483733,3432383403,3912561121
349,3113592362,2178838708,3188678592,3395571869,2980965620,3444528070,3917045317
350,3128585139,2178838708,3206666841,3405519191,2994438073,3450311418,3931570868
351,3141452048,2178838708,3219300783,3415749313,3007888229,3450311418,3953812670
352,3154522140,2178838708,3233312310,3422487898,3027312199,3451753151,3970921460
353,3162470990,2194241537,3237280966,3435956902,3039303098,3463761570,3980634663
354,3177649584,2201284045,3244261527,3440440056,3048291229,3468252693,3997653465
355,3184906051,2215587942,3251514569,3449377389,3057272433,3476664471,4002354139
356,3189376393,2225091725,3264659708,3454573628,3061375400,3477223394,4019123790
357,3193869825,2228217154,3269747140,3476281870,3066249019,3498897479,4024790211
358,3207347940,2238527708,3282970577,3485250262,3081683349,3515343382,4029282601
359,3216334016,2246185222,3291671292,3502778810,3093193673,3522078391,4050484080
360,3222500912,2250657992,3313010155,3516662825,3100032807,3522078391,4072160157
361,3233568343,2250657992,3325245706,3536235866,3109434155,3531051403,4075561584
362,3240165392,2255149242,3340970451,3539429140,3124583125,3544493713,4084241423
363,3252240387,2259640365,3349953964,3557020245,3125948819,3553041264,4100452268
364,3256831081,2273064803,3357982329,3570485645,3138055452,3569358443,4101082628
365,3261214664,2277554059,3363417180,3593665881,3142546448,3585989409,4119026558
366,3261214664,2286538614,3370590760,3597408854,3149807612,3593848149,4123510754
367,3270196910,2291031004,3382092890,3625187642,3160506675,3598324376,4133157298
368,3288142135,2291066081,3394813479,3628827681,3164682223,3607280181,4141470879
369,3292629907,2302760201,3403792374,3652248122,3178477179,3607280181,4164059058
370,3297123339,2315741789,3410874802,3662141508,3182969695,3612440204,4177382883
371,3301612153,2326899162,3426221773,3676653488,3191950899,3629823828,4193480325
372,3306098658,2326899162,3426221773,3689277287,3205389633,3638864806,4209970667
