stat_bytes_avail,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
114,59351060480,62465536000,57247264768,56950042624,56575901696,57122721792,54004772864
115,59350290432,62465077248,57247174656,56948928512,56575901696,57122721792,54007140352
116,59350290432,62464622592,57247174656,56948928512,56575901696,57122721792,54007140352
117,59350290432,62464217088,57247174656,56948928512,56574500864,57129730048,54007140352
118,59349082112,62464217088,57247174656,56948928512,56574500864,57129730048,54005624832
119,59349082112,62464217088,57244807168,56955842560,56574500864,57127407616,54005624832
120,59349082112,62463688704,57244807168,56955842560,56574500864,57127407616,54005624832
121,59349082112,62463021056,57249325056,56955600896,56573091840,57127407616,54005624832
122,59352444928,62463021056,57249325056,56955600896,56573091840,57127407616,54005624832
123,59352444928,62463021056,57248862208,56955600896,56573091840,57125912576,54008258560
124,59352444928,62462316544,57248309248,56955600896,56573091840,57125912576,54008258560
125,59352444928,62462316544,57248309248,56955600896,56573091840,57125912576,54008258560
